N eta mean fluc binder
1000 0.36 0.719081431124 3.81722256318 -4.71098462695
100 0.54 0.52782649695 0.416925852278 -1.62011796568
1000 0.62 0.263712575471 7.01734190057 0.0785941202926
1000 0.8 0.041861363155 0.484191277919 -0.0721249870734
400 0.28 0.841007748808 0.397078191881 -6.66863095728
1000 0.7 0.12084150686 2.90187855827 0.168174338162
40 0.62 0.447396768576 0.289071975532 -0.225123631011
40 0.8 0.195423632358 0.346559196184 0.0502433304154
1000 0.92 0.0292503646039 0.233997095057 -0.0816294500293
40 0.76 0.234627908673 0.396159740845 0.134483473308
1000 0.18 0.926244099736 0.449205387807 -6.75498220953
400 0.84 0.0553967560916 0.333426722938 -0.022374802688
40 0.22 0.918958409567 0.00683484484927 -0.0869342973487
1000 0.1 0.976925781716 0.0560066018406 -7.73627583743
100 0.9 0.0952657636379 0.24724778783 -0.0470697382548
100 0.72 0.215350488161 0.718298844215 0.167137925812
400 0.14 0.959465158584 0.0307215111466 -13.675844637
1000 0.74 0.0734318456463 1.32821394358 0.0721258582872
40 0.38 0.769080610993 0.0529455940153 -0.063393799876
100 0.56 0.495524893126 0.479372270977 -1.09965801657
40 0.2 0.932614075065 0.0047115134822 -0.0804647604677
400 0.72 0.132275439591 1.43261275289 0.168738935329
400 0.64 0.271377999246 2.88113911944 0.0314733053102
1000 0.78 0.0482274307414 0.612333147734 -0.0639801179276
400 0.88 0.0490199810723 0.259715635035 -0.0369757803218
400 0.74 0.108686467514 1.06387475205 0.135950752881
100 0.48 0.617345678789 0.269066057832 -2.34238195377
100 0.28 0.859850064869 0.0379297632571 -2.55443059466
100 0.92 0.0920377086243 0.231936687774 -0.0677495170223
400 0.9 0.0472722952337 0.236749075972 -0.0754441589389
400 0.38 0.716760285441 1.05527323237 -4.32952648811
40 0.56 0.537279936863 0.203951654547 -0.233083998233
100 0.08 0.988130977506 0.000305724560306 -5.39254100272
1000 0.6 0.296621002643 8.04383121522 1.87072297941e-05
100 0.26 0.879392071115 0.0272104475111 -1.23241225463
400 0.54 0.458849082152 2.8838513241 -1.05092195955
100 0.82 0.119512678259 0.364279575519 -0.0112418946737
40 0.34 0.812588675446 0.0351918381206 -0.131823718837
1000 0.46 0.55683929475 8.00199115123 -1.76449410932
400 0.08 0.986638558772 0.0043869190425 -13.2509238447
40 0.92 0.146270781519 0.230635771224 -0.0843209902701
40 0.0 1.0 2.76666012481e-30 0.427136880137
1000 0.58 0.336386451995 8.59769635468 -0.141676465384
1000 0.26 0.849629118524 1.47842094851 -6.3322499858
400 0.36 0.743459612174 0.872649819896 -5.37682728986
40 0.68 0.352039819223 0.388009373891 -0.013089764379
40 0.32 0.832991235604 0.0282545069484 -0.0494165676924
40 0.6 0.477405069469 0.255067295066 -0.191867957112
100 0.24 0.896555097151 0.0208135498673 -6.73432175505
400 0.24 0.881705421425 0.224308836043 -5.63231540426
40 0.86 0.160509480164 0.268995682955 0.0187447956512
40 0.26 0.887701188084 0.0129904490766 -0.0888355953291
100 0.78 0.144183975721 0.48668814139 0.122157138644
1000 0.28 0.825687321688 1.77056276833 -5.4490296113
100 0.3 0.841158888848 0.0460693801454 -1.86879027408
400 0.26 0.863581520244 0.275863940867 -7.37022764408
100 0.76 0.164557651248 0.553508303395 0.128890711149
100 0.2 0.92761095639 0.0102503681401 -4.01023115476
1000 0.34 0.748739017173 3.018828528 -3.76766287514
400 0.5 0.52817937587 2.53666844455 -1.80095348821
