N eta <d> var(d)
1000 0.88 0.245095945228 0.0010812154527
100 0.84 0.238227828741 0.00480324350071
40 0.96 0.241536954103 0.00480789009318
400 0.52 0.186714178977 0.00323226637898
400 0.6 nan nan
100 0.86 0.243190444445 0.00291028660397
1000 0.84 0.239097899075 0.00190715620373
1000 0.86 0.245126579653 0.00148686158414
1000 0.5 0.165275012025 0.00291231344846
100 0.96 0.247874806424 0.00250023459965
806424 6.94574783699e-05
